term,predicate
http://purl.obolibrary.org/obo/MRIO_1000019,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000019,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000378,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000033,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000033,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000001,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000001,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000360,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000359,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000014,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000014,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000428,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000027,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000027,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000041,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000041,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000008,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000008,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000022,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000022,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000381,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000657,http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/MRIO_0000394,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000003,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000003,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000362,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000016,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000016,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000375,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000030,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000030,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000029,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000029,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000356,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000011,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000011,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000370,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000369,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000024,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000024,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000526,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000659,http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/MRIO_1000005,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000005,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000364,http://purl.org/dc/elements/1.1/creator
